,Unnamed: 0,sensitivity,specificity,inv_frac,delay_samples,decay_part
1043,1043,0.9993364299933644,0.0,3.0,175,260
1044,1044,0.9993364299933644,0.0,3.5,175,260
921,921,1.0,0.0,1.5,250,220
920,920,1.0,0.0,1.0,250,220
919,919,1.0,0.0,0.5,250,220
1684,1684,1.0,0.0,0.5,25,300
1685,1685,1.0,0.0,1.0,25,300
1686,1686,1.0,0.0,1.5,25,300
1687,1687,1.0,0.0,2.0,25,300
1688,1688,1.0,0.0,2.5,25,300
1689,1689,1.0,0.0,3.0,25,300
1702,1702,1.0,0.0,1.0,50,300
1038,1038,1.0,0.0,0.5,175,260
1735,1735,1.0,0.0,0.5,100,300
1042,1042,1.0,0.0,2.5,125,180
1753,1753,1.0,0.0,1.0,125,300
1754,1754,1.0,0.0,1.5,125,300
1755,1755,1.0,0.0,2.0,125,300
1756,1756,1.0,0.0,2.5,125,300
1757,1757,1.0,0.0,3.0,125,300
1009,1009,1.0,0.0,3.0,75,180
1008,1008,1.0,0.0,2.5,75,180
1007,1007,1.0,0.0,2.0,75,180
1006,1006,1.0,0.0,1.5,75,180
1005,1005,1.0,0.0,1.0,75,180
1004,1004,1.0,0.0,0.5,75,180
1058,1058,1.0,0.0,2.0,200,260
1769,1769,1.0,0.0,0.5,150,300
1770,1770,1.0,0.0,1.0,150,300
1771,1771,1.0,0.0,1.5,150,300
1752,1752,1.0,0.0,0.5,125,300
1043,1043,1.0,0.0,3.0,125,180
1057,1057,1.0,0.0,1.5,200,260
1022,1022,1.0,0.0,1.0,100,180
1041,1041,1.0,0.0,2.0,125,180
1040,1040,1.0,0.0,1.5,125,180
1039,1039,1.0,0.0,1.0,125,180
1038,1038,1.0,0.0,0.5,125,180
1056,1056,1.0,0.0,1.0,200,260
1736,1736,1.0,0.0,1.0,100,300
1737,1737,1.0,0.0,1.5,100,300
1738,1738,1.0,0.0,2.0,100,300
1739,1739,1.0,0.0,2.5,100,300
1740,1740,1.0,0.0,3.0,100,300
1027,1027,1.0,0.0,3.5,100,180
1026,1026,1.0,0.0,3.0,100,180
1025,1025,1.0,0.0,2.5,100,180
1024,1024,1.0,0.0,2.0,100,180
1023,1023,1.0,0.0,1.5,100,180
1021,1021,1.0,0.0,0.5,100,180
922,922,1.0,0.0,2.0,250,220
923,923,1.0,0.0,2.5,250,220
1089,1089,1.0,0.0,0.5,25,200
1158,1158,1.0,0.0,1.0,125,200
1157,1157,1.0,0.0,0.5,125,200
1587,1587,1.0,0.0,3.0,50,280
936,936,1.0,0.0,0.5,150,240
1599,1599,1.0,0.0,0.5,75,280
1600,1600,1.0,0.0,1.0,75,280
1601,1601,1.0,0.0,1.5,75,280
1602,1602,1.0,0.0,2.0,75,280
1603,1603,1.0,0.0,2.5,75,280
1604,1604,1.0,0.0,3.0,75,280
1146,1146,1.0,0.0,3.5,100,200
1145,1145,1.0,0.0,3.0,100,200
1144,1144,1.0,0.0,2.5,100,200
1143,1143,1.0,0.0,2.0,100,200
1142,1142,1.0,0.0,1.5,100,200
1159,1159,1.0,0.0,1.5,125,200
1141,1141,1.0,0.0,1.0,100,200
1160,1160,1.0,0.0,2.0,125,200
1162,1162,1.0,0.0,3.0,125,200
1569,1569,1.0,0.0,2.5,25,280
1180,1180,1.0,0.0,3.5,150,200
1179,1179,1.0,0.0,3.0,150,200
1178,1178,1.0,0.0,2.5,150,200
1177,1177,1.0,0.0,2.0,150,200
1176,1176,1.0,0.0,1.5,150,200
1175,1175,1.0,0.0,1.0,150,200
1174,1174,1.0,0.0,0.5,150,200
1570,1570,1.0,0.0,3.0,25,280
937,937,1.0,0.0,1.0,150,240
1582,1582,1.0,0.0,0.5,50,280
1583,1583,1.0,0.0,1.0,50,280
1584,1584,1.0,0.0,1.5,50,280
1585,1585,1.0,0.0,2.0,50,280
1586,1586,1.0,0.0,2.5,50,280
1161,1161,1.0,0.0,2.5,125,200
1140,1140,1.0,0.0,0.5,100,200
1616,1616,1.0,0.0,0.5,100,280
1617,1617,1.0,0.0,1.0,100,280
1110,1110,1.0,0.0,2.5,50,200
1109,1109,1.0,0.0,2.0,50,200
1108,1108,1.0,0.0,1.5,50,200
1107,1107,1.0,0.0,1.0,50,200
1106,1106,1.0,0.0,0.5,50,200
1652,1652,1.0,0.0,1.5,150,280
1653,1653,1.0,0.0,2.0,150,280
