,sensitivity,specificity,inv_frac,delay_samples,window
469,0.872,0.05811623246492986,2.5,25,80
470,0.566,0.3306613226452906,3.0,25,80
471,0.318,0.6112224448897795,3.5,25,80
472,0.224,0.7915831663326653,4.0,25,80
473,0.146,0.87374749498998,4.5,25,80
474,0.084,0.9318637274549099,5.0,25,80
475,0.054,0.9519038076152304,5.5,25,80
476,0.036,0.9759519038076152,6.0,25,80
477,0.028,0.9839679358717435,6.5,25,80
478,0.018,0.9899799599198397,7.0,25,80
479,0.008,0.9979959919839679,7.5,25,80
480,0.0,1.0,0.0,50,80
481,1.0,0.0,0.5,50,80
482,1.0,0.0,1.0,50,80
483,1.0,0.0,1.5,50,80
484,1.0,0.0,2.0,50,80
485,1.0,0.014028056112224449,2.5,50,80
486,0.99,0.17034068136272545,3.0,50,80
487,0.93,0.4789579158316633,3.5,50,80
488,0.762,0.6773547094188377,4.0,50,80
489,0.55,0.8076152304609219,4.5,50,80
490,0.4,0.8837675350701403,5.0,50,80
491,0.31,0.9298597194388778,5.5,50,80
492,0.246,0.9579158316633266,6.0,50,80
493,0.174,0.9739478957915831,6.5,50,80
494,0.112,0.9819639278557114,7.0,50,80
495,0.08,0.9879759519038076,7.5,50,80
496,0.0,1.0,0.0,75,80
497,1.0,0.0,0.5,75,80
498,1.0,0.0,1.0,75,80
499,1.0,0.0,1.5,75,80
500,1.0,0.0,2.0,75,80
501,1.0,0.03006012024048096,2.5,75,80
502,0.996,0.18837675350701402,3.0,75,80
503,0.956,0.45691382765531063,3.5,75,80
504,0.91,0.6813627254509018,4.0,75,80
505,0.856,0.7915831663326653,4.5,75,80
506,0.802,0.8777555110220441,5.0,75,80
507,0.72,0.9258517034068137,5.5,75,80
508,0.624,0.9619238476953907,6.0,75,80
509,0.516,0.9739478957915831,6.5,75,80
510,0.444,0.9799599198396793,7.0,75,80
511,0.372,0.9879759519038076,7.5,75,80
512,0.0,1.0,0.0,100,80
513,1.0,0.0,0.5,100,80
514,1.0,0.0,1.0,100,80
515,1.0,0.0,1.5,100,80
516,1.0,0.0,2.0,100,80
517,1.0,0.03206412825651302,2.5,100,80
518,1.0,0.18036072144288579,3.0,100,80
519,0.998,0.4228456913827655,3.5,100,80
520,0.986,0.625250501002004,4.0,100,80
521,0.966,0.779559118236473,4.5,100,80
522,0.932,0.8476953907815631,5.0,100,80
523,0.884,0.8997995991983968,5.5,100,80
524,0.844,0.9458917835671342,6.0,100,80
525,0.796,0.9679358717434869,6.5,100,80
526,0.74,0.9799599198396793,7.0,100,80
527,0.716,0.9899799599198397,7.5,100,80
528,0.0,1.0,0.0,125,80
529,1.0,0.0,0.5,125,80
530,1.0,0.0,1.0,125,80
531,1.0,0.0,1.5,125,80
532,1.0,0.0,2.0,125,80
533,1.0,0.022044088176352707,2.5,125,80
534,1.0,0.1843687374749499,3.0,125,80
535,1.0,0.45490981963927857,3.5,125,80
536,0.998,0.6412825651302605,4.0,125,80
537,0.992,0.7715430861723447,4.5,125,80
538,0.972,0.8537074148296593,5.0,125,80
539,0.936,0.9018036072144289,5.5,125,80
540,0.908,0.935871743486974,6.0,125,80
541,0.868,0.9619238476953907,6.5,125,80
542,0.816,0.9739478957915831,7.0,125,80
543,0.764,0.9859719438877755,7.5,125,80
544,0.0,1.0,0.0,150,80
545,1.0,0.0,0.5,150,80
546,1.0,0.0,1.0,150,80
547,1.0,0.0,1.5,150,80
548,1.0,0.0,2.0,150,80
549,1.0,0.018036072144288578,2.5,150,80
550,1.0,0.17835671342685372,3.0,150,80
551,1.0,0.43286573146292584,3.5,150,80
552,0.996,0.6513026052104208,4.0,150,80
553,0.99,0.7915831663326653,4.5,150,80
554,0.982,0.87374749498998,5.0,150,80
555,0.966,0.9438877755511023,5.5,150,80
556,0.926,0.9599198396793587,6.0,150,80
557,0.904,0.9779559118236473,6.5,150,80
558,0.866,0.9839679358717435,7.0,150,80
559,0.83,0.9919839679358717,7.5,150,80
560,0.0,1.0,0.0,0,100
561,0.0,1.0,0.5,0,100
562,0.0,1.0,1.0,0,100
563,0.0,1.0,1.5,0,100
564,0.0,1.0,2.0,0,100
565,0.0,1.0,2.5,0,100
566,0.0,1.0,3.0,0,100
567,0.0,1.0,3.5,0,100
568,0.0,1.0,4.0,0,100
569,0.0,1.0,4.5,0,100
570,0.0,1.0,5.0,0,100
571,0.0,1.0,5.5,0,100
572,0.0,1.0,6.0,0,100
573,0.0,1.0,6.5,0,100
574,0.0,1.0,7.0,0,100
575,0.0,1.0,7.5,0,100
576,0.0,1.0,0.0,25,100
577,0.994,0.002004008016032064,0.5,25,100
578,1.0,0.0,1.0,25,100
579,1.0,0.0,1.5,25,100
580,1.0,0.0,2.0,25,100
581,0.872,0.05811623246492986,2.5,25,100
582,0.566,0.3306613226452906,3.0,25,100
583,0.318,0.6112224448897795,3.5,25,100
584,0.224,0.7915831663326653,4.0,25,100
585,0.146,0.87374749498998,4.5,25,100
586,0.084,0.9318637274549099,5.0,25,100
587,0.054,0.9519038076152304,5.5,25,100
588,0.036,0.9759519038076152,6.0,25,100
